date,spot chart,spot %age,lumpSum,%age Lumpsum,1% Dip,amount for 1% dip,%age 1% Dip,2% Dip,amount for 2% dip,%age 2% dip,2k for -2% & 1k for -1%,amount -2% || -1% dip,%age for -2% and -1% dip,when to invest 2k,2k sip,amount for 2k sip,%age for sip
1/1/2020,12182.5,0,1000,1,1000,1000,1,1000,1000,1,1000,1000,1,TRUE,2000,2000,1
1/2/2020,12282.2,0.818,1008.18,0.82%,1008.2,1000,0.82%,1008.18387,1000,0.82%,1008.18387,1000,0.82%,FALSE,2016.36,2000,0.82%
1/3/2020,12226.65,-0.452,1003.62,0.36%,1003.6,1000,0.36%,1003.624051,1000,0.36%,1003.624051,1000,0.36%,FALSE,2007.246053,2000,0.36%
1/6/2020,11993.05,-1.911,984.45,-1.56%,1984.4,2000,-0.78%,984.4490047,1000,-1.56%,1984.449005,2000,-0.78%,FALSE,1968.887581,2000,-1.56%
1/7/2020,12052.95,0.499,989.37,-1.06%,1994.4,2000,-0.28%,989.3658937,1000,-1.06%,1994.360453,2000,-0.28%,FALSE,1978.71233,2000,-1.06%
1/8/2020,12025.35,-0.229,987.1,-1.29%,1989.8,2000,-0.51%,987.1003489,1000,-1.29%,1989.793575,2000,-0.51%,FALSE,1974.181079,2000,-1.29%
1/9/2020,12215.9,1.585,1002.74,0.27%,2021.3,2000,1.07%,1002.741638,1000,0.27%,2021.323233,2000,1.07%,FALSE,2005.471849,2000,0.27%
1/10/2020,12256.8,0.335,1006.1,0.61%,2028.1,2000,1.41%,1006.098912,1000,0.61%,2028.090816,2000,1.40%,FALSE,2012.190179,2000,0.61%
1/13/2020,12329.55,0.594,1012.07,1.21%,2040.1,2000,2.01%,1012.070593,1000,1.21%,2040.12851,2000,2.01%,FALSE,2024.142589,2000,1.21%
1/14/2020,12362.3,0.266,1014.76,1.48%,2045.5,2000,2.28%,1014.758875,1000,1.48%,2045.547541,2000,2.28%,FALSE,2029.526808,2000,1.48%
1/15/2020,12343.3,-0.154,1013.2,1.32%,2042.4,2000,2.12%,1013.199261,1000,1.32%,2042.403675,2000,2.12%,FALSE,2026.401337,2000,1.32%
1/16/2020,12355.5,0.099,1014.2,1.42%,2044.4,2000,2.22%,1014.200698,1000,1.42%,2044.422368,2000,2.22%,FALSE,2028.407474,2000,1.42%
1/17/2020,12352.35,-0.025,1013.94,1.39%,2043.9,2000,2.20%,1013.94213,1000,1.39%,2043.901148,2000,2.20%,FALSE,2027.900372,2000,1.40%
1/20/2020,12224.55,-1.035,1003.45,0.35%,3022.8,3000,0.76%,1003.451672,1000,0.35%,3022.754519,3000,0.76%,FALSE,2006.911604,2000,0.35%
1/21/2020,12169.85,-0.447,998.96,-0.10%,3009.2,3000,0.31%,998.9616253,1000,-0.10%,3009.228894,3000,0.31%,FALSE,1997.940709,2000,-0.10%
1/22/2020,12106.9,-0.517,993.79,-0.62%,2993.7,3000,-0.21%,993.7943772,1000,-0.62%,2993.663299,3000,-0.21%,FALSE,1987.611355,2000,-0.62%
1/23/2020,12180.35,0.607,999.82,-0.02%,3011.8,3000,0.39%,999.8235173,1000,-0.02%,3011.825221,3000,0.39%,FALSE,1999.676156,2000,-0.02%
1/24/2020,12248.25,0.557,1005.4,0.54%,3028.6,3000,0.95%,1005.397086,1000,0.54%,3028.614798,3000,0.95%,FALSE,2010.814352,2000,0.54%
1/27/2020,12119,-1.055,994.79,-0.52%,3996.7,4000,-0.08%,994.7876052,1000,-0.52%,3996.655256,4000,-0.08%,FALSE,1989.600261,2000,-0.52%
1/28/2020,12055.8,-0.521,989.6,-1.04%,3975.8,4000,-0.60%,989.5998358,1000,-1.04%,3975.812892,4000,-0.60%,FALSE,1979.234444,2000,-1.04%
1/29/2020,12129.5,0.611,995.65,-0.44%,4000.1,4000,0.00%,995.6494972,1000,-0.44%,4000.117991,4000,0.00%,FALSE,1991.327566,2000,-0.43%
1/30/2020,12035.8,-0.772,987.96,-1.20%,3969.2,4000,-0.77%,987.9581367,1000,-1.20%,3969.217207,4000,-0.77%,FALSE,1975.954517,2000,-1.20%
1/31/2020,11962.1,-0.612,981.91,-1.81%,3944.9,4000,-1.38%,981.9084753,1000,-1.81%,3944.912108,4000,-1.38%,FALSE,1963.861676,2000,-1.81%
2/1/2020,11661.85,-2.51,957.26,-4.27%,4845.9,5000,-3.08%,2957.262467,3000,-1.42%,5845.894389,6000,-2.57%,TRUE,3914.568748,4000,-2.14%
2/3/2020,11707.9,0.395,961.04,-3.90%,4865,5000,-2.70%,2968.940025,3000,-1.04%,5868.9785,6000,-2.18%,FALSE,3930.031294,4000,-1.75%
2/4/2020,11979.65,2.321,983.35,-1.67%,4978,5000,-0.44%,3037.851568,3000,1.26%,6005.202324,6000,0.09%,FALSE,4021.24732,4000,0.53%
2/5/2020,12089.15,0.914,992.34,-0.77%,5023.5,5000,0.47%,3065.619053,3000,2.19%,6060.09288,6000,1.00%,FALSE,4058.001521,4000,1.45%
2/6/2020,12137.95,0.404,996.34,-0.37%,5043.7,5000,0.87%,3077.993968,3000,2.60%,6084.555521,6000,1.41%,FALSE,4074.395847,4000,1.86%
2/7/2020,12098.35,-0.326,993.09,-0.69%,5027.3,5000,0.55%,3067.952028,3000,2.27%,6064.704689,6000,1.08%,FALSE,4061.113317,4000,1.53%
2/10/2020,12031.5,-0.553,987.61,-1.24%,4999.5,5000,-0.01%,3050.999916,3000,1.70%,6031.193879,6000,0.52%,FALSE,4038.65536,4000,0.97%
2/11/2020,12107.9,0.635,993.88,-0.61%,5031.2,5000,0.62%,3070.373759,3000,2.35%,6069.491948,6000,1.16%,FALSE,4064.300821,4000,1.61%
2/12/2020,12201.2,0.771,1001.53,0.15%,5070,5000,1.40%,3094.033177,3000,3.13%,6116.26171,6000,1.94%,FALSE,4095.636581,4000,2.39%
2/13/2020,12174.65,-0.218,999.36,-0.06%,5059,5000,1.18%,3087.300513,3000,2.91%,6102.95263,6000,1.72%,FALSE,4086.708093,4000,2.17%
2/14/2020,12113.45,-0.503,994.33,-0.57%,5033.5,5000,0.67%,3071.781152,3000,2.39%,6072.274072,6000,1.20%,FALSE,4066.151951,4000,1.65%
2/17/2020,12045.8,-0.558,988.78,-1.12%,5005.4,5000,0.11%,3054.626172,3000,1.82%,6038.362235,6000,0.64%,FALSE,4043.462823,4000,1.09%
2/18/2020,11992.5,-0.442,984.4,-1.56%,4983.3,5000,-0.33%,3041.110127,3000,1.37%,6011.643818,6000,0.19%,FALSE,4025.590718,4000,0.64%
2/19/2020,12125.9,1.112,995.35,-0.46%,5038.7,5000,0.77%,3074.938277,3000,2.50%,6078.515053,6000,1.31%,FALSE,4070.355287,4000,1.76%
2/20/2020,12080.85,-0.372,991.66,-0.83%,5020,5000,0.40%,3063.514303,3000,2.12%,6055.932226,6000,0.93%,FALSE,4055.213565,4000,1.38%
2/24/2020,11829.4,-2.081,971.02,-2.90%,5915.5,6000,-1.41%,4999.750522,5000,0.00%,7929.88446,8000,-0.88%,FALSE,3970.824571,4000,-0.73%
2/25/2020,11797.9,-0.266,968.43,-3.16%,5899.8,6000,-1.67%,4986.436901,5000,-0.27%,7908.768312,8000,-1.14%,FALSE,3960.262177,4000,-0.99%
2/26/2020,11678.5,-1.012,958.63,-4.14%,6840.1,7000,-2.28%,4935.97194,5000,-1.28%,8828.728056,9000,-1.90%,FALSE,3920.184324,4000,-2.00%
2/27/2020,11633.3,-0.387,954.92,-4.51%,6813.6,7000,-2.66%,4916.867952,5000,-1.66%,8794.557699,9000,-2.28%,FALSE,3905.013211,4000,-2.37%
2/28/2020,11201.75,-3.71,919.5,-8.05%,7560.8,8000,-5.49%,6734.471352,7000,-3.79%,10468.31395,11000,-4.83%,FALSE,3760.137221,4000,-6.00%
3/2/2020,11132.75,-0.616,913.83,-8.62%,7514.3,8000,-6.07%,6692.98868,7000,-4.39%,10403.83174,11000,-5.42%,TRUE,5736.974775,6000,-4.38%
3/3/2020,11303.3,1.532,927.83,-7.22%,7629.4,8000,-4.63%,6795.523024,7000,-2.92%,10563.21495,11000,-3.97%,FALSE,5824.865229,6000,-2.92%
3/4/2020,11251,-0.463,923.54,-7.65%,7594.1,8000,-5.07%,6764.08036,7000,-3.37%,10514.3393,11000,-4.42%,FALSE,5797.896103,6000,-3.37%
3/5/2020,11269,0.16,925.02,-7.50%,7606.2,8000,-4.92%,6774.901927,7000,-3.22%,10531.16075,11000,-4.26%,FALSE,5807.172737,6000,-3.21%
3/6/2020,10989.45,-2.481,902.07,-9.79%,8417.5,9000,-6.47%,8606.836985,9000,-4.37%,12269.91432,13000,-5.62%,FALSE,5663.096781,6000,-5.62%
3/9/2020,10451.45,-4.896,857.91,-14.21%,9005.4,10000,-9.95%,10185.48029,11000,-7.40%,13669.22785,15000,-8.87%,FALSE,5385.831563,6000,-10.24%
3/11/2020,10458.4,0.066,858.48,-14.15%,9011.4,10000,-9.89%,10192.25343,11000,-7.34%,13678.31761,15000,-8.81%,FALSE,5389.386211,6000,-10.18%
3/12/2020,9590.15,-8.302,787.21,-21.28%,9263.3,11000,-15.79%,11346.09875,13000,-12.72%,14542.75201,17000,-14.45%,FALSE,4941.959368,6000,-17.63%
